feature,importance
total ether received,0.14542447
avg val received,0.08729896
Time Diff between first and last (Mins),0.07403688
ERC20 min val rec,0.062006447
Avg min between received tnx,0.053813983
Unique Received From Addresses,0.05230848
ERC20 max val rec,0.033094306
min value received,0.032571927
total transactions (including tnx to create contract),0.03218917
Sent tnx,0.027469873
max value received,0.026825706
has_erc20_activity,0.025953678
total Ether sent,0.025203034
total ether balance,0.023968337
Received Tnx,0.023672722
ERC20 total ether sent,0.023551608
ERC20 min val sent,0.023296215
ERC20 avg val rec,0.021185746
min val sent,0.020085217
Number of Created Contracts,0.01990702
ERC20 total Ether received,0.017987505
Avg min between sent tnx,0.015900107
Total ERC20 tnxs,0.015738659
avg val sent,0.014362093
ERC20 uniq rec token name,0.012794709
ERC20 uniq sent token name,0.012498075
Unique Sent To Addresses,0.011916102
max val sent,0.011558454
ERC20 uniq rec contract addr,0.01087436
ERC20 uniq sent addr,0.01085605
ERC20 uniq rec addr,0.010566986
ERC20 avg val sent,0.0103794
ERC20 max val sent,0.00794609
ERC20 total Ether sent contract,0.0027576222
total ether sent contracts,0.0
avg value sent to contract,0.0
max val sent to contract,0.0
min value sent to contract,0.0
